detector,stream,parameter,value
sync,events,C_min,0.02
sync,events,C_threshold,0.1
sync,events,detection_mode,threshold
sync,events,dt,0.2
sync,events,fitted_config_key,9a527ed924ef2762
sync,events,fitted_on,"simulated recordings ['quiet:2000', 'busy:2000', 'quiet:2001', 'busy:2001', 'quiet:2002', 'busy:2002', 'quiet:2003', 'busy:2003']"
sync,events,fitted_outer_fold,2
sync,events,fitted_selection,ungated
sync,events,max_gap,1.0
sync,events,min_n,3
sync,events,peak_min_distance_sec,0.0
sync,events,peak_prominence,0.0
sync,events,tau_max,0.5
sync,events,tau_mode,isi_adaptive
