detector,stream,parameter,value
rate,events,context_win,20.0
rate,events,detection_mode,threshold
rate,events,excess_threshold_hz,5.0
rate,events,fitted_config_key,527191433234f31e
rate,events,fitted_on,"simulated recordings ['quiet:2002', 'busy:2002', 'quiet:2003', 'busy:2003', 'quiet:2004', 'busy:2004', 'quiet:2005', 'busy:2005']"
rate,events,fitted_outer_fold,0
rate,events,fitted_selection,ungated
rate,events,grid_dt,0.1
rate,events,guard_sec,2.0
rate,events,merge_gap_s,8.0
rate,events,peak_min_distance_sec,0.0
rate,events,peak_prominence,0.0
rate,events,rate_win,1.0
rate,events,threshold_alpha,2.0
rate,events,threshold_mode,additive
