detector,stream,parameter,value
sce,events,bin_width_sec,5.0
sce,events,detection_mode,threshold
sce,events,fitted_config_key,a21a77de918939af
sce,events,fitted_on,"simulated recordings ['quiet:2002', 'busy:2002', 'quiet:2003', 'busy:2003', 'quiet:2004', 'busy:2004', 'quiet:2005', 'busy:2005']"
sce,events,fitted_outer_fold,0
sce,events,fitted_selection,ungated
sce,events,merge_gap_sec,30.0
sce,events,min_rois,3
sce,events,n_surrogates,200
sce,events,peak_min_distance_sec,0.0
sce,events,peak_prominence,0.0
sce,events,threshold_pctile,70.0
