detector,stream,parameter,value
coact,events,alpha,3e-05
coact,events,context_win_sec,120.0
coact,events,detection_mode,threshold
coact,events,fitted_config_key,e8e5e06c1bfc94d4
coact,events,fitted_on,"simulated recordings ['quiet:2000', 'busy:2000', 'quiet:2001', 'busy:2001', 'quiet:2004', 'busy:2004', 'quiet:2005', 'busy:2005']"
coact,events,fitted_outer_fold,1
coact,events,fitted_selection,ungated
coact,events,guard_norm,compact
coact,events,guard_sec,1.0
coact,events,int_win_sec,2.0
coact,events,merge_gap_sec,8.0
coact,events,min_rois,3
coact,events,n_surrogates,100
coact,events,peak_min_distance_sec,0.0
coact,events,peak_prominence,0.0
coact,events,window_mode,sliding
